year,month,sellers
2022,1,174
2022,2,158
2022,3,192
2022,4,184
2022,5,163
2022,6,173
2022,7,192
2022,8,192
2022,9,174
2022,10,187
2022,11,185
2022,12,199
2023,1,199
2023,2,143
2023,3,201
2023,4,174
2023,5,181
2023,6,166
2023,7,204
2023,8,174
2023,9,177
2023,10,196
2023,11,176
2023,12,162
2024,1,161
2024,2,185
2024,3,220
2024,4,179
2024,5,162
2024,6,181
2024,7,190
2024,8,178
2024,9,186
2024,10,230
2024,11,172
2024,12,173
2025,1,174
2025,2,171
2025,3,190
2025,4,164
2025,5,183
2025,6,173
2025,7,197
2025,8,176
2025,9,201
2025,10,190
2025,11,201
2025,12,176
2026,1,166
2026,2,170
2026,3,179
2026,4,194
2026,5,190
2026,6,177
2026,7,185
