seller_id,fraud_flag,risk_score,fraud_reason
S100001,False,19,Fake Address
S100002,False,37,None
S100003,False,69,Fake Address
S100004,False,35,None
S100005,False,73,None
S100006,False,63,Document Mismatch
S100007,False,3,Document Mismatch
S100008,False,8,Document Mismatch
S100009,True,86,Multiple Accounts
S100010,False,25,Multiple Accounts
S100011,False,53,Fake Address
S100012,True,88,Document Mismatch
S100013,False,37,Document Mismatch
S100014,False,64,Document Mismatch
S100015,True,92,Document Mismatch
S100016,True,87,Document Mismatch
S100017,False,45,Fake Address
S100018,True,93,None
S100019,True,95,Fake Address
S100020,False,52,Multiple Accounts
S100021,False,42,Multiple Accounts
S100022,True,98,Multiple Accounts
S100023,False,65,Fake Address
S100024,False,41,Document Mismatch
S100025,False,60,None
S100026,False,43,Fake Address
S100027,False,32,Document Mismatch
S100028,False,61,Fake Address
S100029,False,29,None
S100030,False,46,Multiple Accounts
S100031,False,44,Fake Address
S100032,False,51,Document Mismatch
S100033,True,94,Multiple Accounts
S100034,False,25,None
S100035,False,26,Document Mismatch
S100036,False,18,Multiple Accounts
S100037,False,1,Document Mismatch
S100038,False,30,Document Mismatch
S100039,False,62,Fake Address
S100040,True,93,Document Mismatch
S100041,False,13,Multiple Accounts
S100042,False,3,Multiple Accounts
S100043,True,98,Multiple Accounts
S100044,False,36,Document Mismatch
S100045,False,41,Multiple Accounts
S100046,False,51,Fake Address
S100047,False,18,Document Mismatch
S100048,False,62,None
S100049,False,71,Multiple Accounts
S100050,False,5,Fake Address
S100051,True,88,Multiple Accounts
S100052,False,75,Document Mismatch
S100053,True,97,Document Mismatch
S100054,False,17,Document Mismatch
S100055,False,65,Document Mismatch
S100056,False,8,None
S100057,True,89,Fake Address
S100058,False,48,Document Mismatch
S100059,True,94,Multiple Accounts
S100060,False,58,Multiple Accounts
S100061,False,35,None
S100062,True,100,None
S100063,False,50,Multiple Accounts
S100064,False,25,Multiple Accounts
S100065,False,33,Multiple Accounts
S100066,False,9,Document Mismatch
S100067,False,20,None
S100068,True,99,Document Mismatch
S100069,False,55,Document Mismatch
S100070,False,23,None
S100071,False,52,None
S100072,False,25,Fake Address
S100073,False,68,None
S100074,False,52,Document Mismatch
S100075,False,15,Document Mismatch
S100076,False,64,None
S100077,False,19,None
S100078,False,39,Multiple Accounts
S100079,False,75,Document Mismatch
S100080,False,24,None
S100081,False,15,Multiple Accounts
S100082,False,11,Document Mismatch
S100083,False,23,None
S100084,False,72,Fake Address
S100085,False,48,Document Mismatch
S100086,False,76,Multiple Accounts
S100087,False,18,Document Mismatch
S100088,False,55,Document Mismatch
S100089,False,63,Fake Address
S100090,False,52,Document Mismatch
S100091,True,94,None
S100092,False,31,Fake Address
S100093,False,48,None
S100094,False,78,Document Mismatch
S100095,False,79,Fake Address
S100096,False,29,Multiple Accounts
S100097,False,10,Multiple Accounts
S100098,False,71,Multiple Accounts
S100099,False,12,None
S100100,False,60,Fake Address
S100101,True,87,Fake Address
S100102,False,14,Multiple Accounts
S100103,False,48,Fake Address
S100104,False,44,Multiple Accounts
S100105,True,99,None
S100106,False,85,Multiple Accounts
S100107,True,91,Multiple Accounts
S100108,False,8,Document Mismatch
S100109,False,11,None
S100110,False,66,Fake Address
S100111,False,22,None
S100112,False,71,Document Mismatch
S100113,False,5,Fake Address
S100114,False,76,Multiple Accounts
S100115,False,47,None
S100116,False,40,Fake Address
S100117,False,38,Multiple Accounts
S100118,False,80,Multiple Accounts
S100119,False,24,Document Mismatch
S100120,False,24,Multiple Accounts
S100121,False,42,Multiple Accounts
S100122,False,63,None
S100123,False,22,Document Mismatch
S100124,True,93,None
S100125,False,69,Document Mismatch
S100126,False,1,Fake Address
S100127,False,33,Multiple Accounts
S100128,False,32,None
S100129,False,46,Fake Address
S100130,False,41,Multiple Accounts
S100131,False,19,Document Mismatch
S100132,False,49,Multiple Accounts
S100133,False,82,Fake Address
S100134,True,100,Document Mismatch
S100135,True,91,Fake Address
S100136,False,58,None
S100137,False,49,None
S100138,False,52,Multiple Accounts
S100139,False,24,None
S100140,True,96,Document Mismatch
S100141,False,12,Multiple Accounts
S100142,False,51,Fake Address
S100143,True,87,Fake Address
S100144,False,38,None
S100145,False,20,Fake Address
S100146,True,89,Fake Address
S100147,False,24,Multiple Accounts
S100148,False,25,Fake Address
S100149,True,89,Multiple Accounts
S100150,False,21,Multiple Accounts
S100151,False,78,Document Mismatch
S100152,False,16,Multiple Accounts
S100153,False,60,Fake Address
S100154,False,21,Document Mismatch
S100155,False,58,Multiple Accounts
S100156,True,90,Fake Address
S100157,True,98,Multiple Accounts
S100158,False,5,Document Mismatch
S100159,False,3,Document Mismatch
S100160,False,56,Fake Address
S100161,False,72,None
S100162,False,4,Document Mismatch
S100163,True,93,Fake Address
S100164,False,6,None
S100165,False,20,Multiple Accounts
S100166,False,54,Multiple Accounts
S100167,True,91,Document Mismatch
S100168,False,73,Multiple Accounts
S100169,False,11,Fake Address
S100170,False,9,Document Mismatch
S100171,False,17,Multiple Accounts
S100172,False,69,None
S100173,False,73,None
S100174,True,86,Document Mismatch
S100175,False,82,Document Mismatch
S100176,False,27,Fake Address
S100177,False,72,Multiple Accounts
S100178,False,64,Multiple Accounts
S100179,True,96,Multiple Accounts
S100180,True,100,Multiple Accounts
S100181,False,56,Fake Address
S100182,False,11,Document Mismatch
S100183,False,19,Document Mismatch
S100184,True,87,Multiple Accounts
S100185,False,27,None
S100186,False,34,None
S100187,False,23,Fake Address
S100188,False,62,Document Mismatch
S100189,False,67,None
S100190,False,68,None
S100191,False,31,Document Mismatch
S100192,False,20,None
S100193,False,34,None
S100194,False,64,None
S100195,False,64,None
S100196,False,65,Fake Address
S100197,False,32,Multiple Accounts
S100198,False,21,Fake Address
S100199,False,75,Document Mismatch
S100200,False,66,Document Mismatch
S100201,False,8,Document Mismatch
S100202,False,62,Fake Address
S100203,False,81,Fake Address
S100204,False,50,None
S100205,False,4,Fake Address
S100206,False,54,Multiple Accounts
S100207,True,92,None
S100208,False,63,Multiple Accounts
S100209,False,3,Multiple Accounts
S100210,False,1,Document Mismatch
S100211,False,3,Document Mismatch
S100212,False,13,Multiple Accounts
S100213,False,64,Fake Address
S100214,True,93,Fake Address
S100215,False,7,None
S100216,False,71,None
S100217,False,32,Document Mismatch
S100218,False,78,None
S100219,False,33,None
S100220,False,28,Document Mismatch
S100221,False,85,Multiple Accounts
S100222,False,24,None
S100223,False,85,None
S100224,False,21,Multiple Accounts
S100225,False,39,Document Mismatch
S100226,False,53,Fake Address
S100227,False,4,Document Mismatch
S100228,False,47,Document Mismatch
S100229,False,5,Multiple Accounts
S100230,False,9,Document Mismatch
S100231,False,11,Document Mismatch
S100232,False,32,Multiple Accounts
S100233,False,76,Document Mismatch
S100234,False,27,Document Mismatch
S100235,False,37,Multiple Accounts
S100236,False,45,Multiple Accounts
S100237,False,61,None
S100238,False,27,Fake Address
S100239,True,95,Fake Address
S100240,False,39,Document Mismatch
S100241,False,80,None
S100242,False,7,Document Mismatch
S100243,False,59,Multiple Accounts
S100244,False,17,Multiple Accounts
S100245,False,32,None
S100246,False,6,Multiple Accounts
S100247,False,28,Fake Address
S100248,False,18,Document Mismatch
S100249,False,27,Document Mismatch
S100250,False,53,Document Mismatch
S100251,True,100,None
S100252,False,47,Fake Address
S100253,False,65,Document Mismatch
S100254,False,50,Fake Address
S100255,False,12,None
S100256,False,57,Document Mismatch
S100257,False,31,Fake Address
S100258,False,21,Multiple Accounts
S100259,False,9,Multiple Accounts
S100260,False,10,Document Mismatch
S100261,False,53,Multiple Accounts
S100262,False,36,None
S100263,False,10,Fake Address
S100264,False,34,None
S100265,False,23,None
S100266,False,77,Multiple Accounts
S100267,False,28,Document Mismatch
S100268,False,81,Fake Address
S100269,False,25,Fake Address
S100270,False,2,Fake Address
S100271,True,100,Multiple Accounts
S100272,False,23,Multiple Accounts
S100273,False,85,Multiple Accounts
S100274,False,22,None
S100275,False,85,Document Mismatch
S100276,False,48,None
S100277,False,73,Multiple Accounts
S100278,False,54,None
S100279,False,72,None
S100280,False,64,Document Mismatch
S100281,False,45,None
S100282,False,36,Fake Address
S100283,False,32,Multiple Accounts
S100284,True,100,Fake Address
S100285,False,40,Document Mismatch
S100286,False,47,None
S100287,False,13,Document Mismatch
S100288,False,47,Document Mismatch
S100289,False,56,Multiple Accounts
S100290,False,5,None
S100291,False,55,Document Mismatch
S100292,False,25,None
S100293,False,30,Multiple Accounts
