seller_id,last_login,device,failed_logins,ip_country
S100001,2023-06-16,Mobile,7,Germany
S100002,2025-10-09,Mobile,3,UK
S100003,2024-12-31,Tablet,3,Canada
S100004,2025-04-26,Tablet,0,Australia
S100005,2022-11-05,Mobile,4,Singapore
S100006,2022-05-04,Mobile,3,Singapore
S100007,2024-09-26,Tablet,4,USA
S100008,2022-01-12,Mobile,6,India
S100009,2023-06-28,Tablet,7,Canada
S100010,2025-10-06,Desktop,6,USA
S100011,2024-03-06,Mobile,4,Australia
S100012,2024-01-12,Tablet,5,Singapore
S100013,2025-11-06,Desktop,6,USA
S100014,2025-11-20,Desktop,8,USA
S100015,2025-10-11,Mobile,2,Singapore
S100016,2023-12-06,Tablet,0,Australia
S100017,2024-01-16,Mobile,2,Germany
S100018,2026-02-02,Desktop,1,UK
S100019,2023-02-19,Tablet,3,Canada
S100020,2024-08-20,Desktop,5,UK
S100021,2022-12-08,Tablet,0,Germany
S100022,2022-02-16,Mobile,7,Australia
S100023,2025-08-19,Tablet,2,UK
S100024,2024-12-29,Desktop,7,USA
S100025,2026-07-20,Mobile,0,India
S100026,2026-06-05,Tablet,5,UK
S100027,2022-05-25,Mobile,0,Canada
S100028,2022-07-25,Desktop,1,Singapore
S100029,2025-01-15,Desktop,0,Canada
S100030,2022-06-08,Desktop,8,Australia
S100031,2022-02-18,Mobile,4,Germany
S100032,2023-11-24,Mobile,2,USA
S100033,2024-05-29,Tablet,5,Germany
S100034,2023-10-25,Mobile,5,Germany
S100035,2023-11-04,Tablet,6,UK
S100036,2025-03-30,Mobile,0,India
S100037,2025-01-01,Mobile,3,Australia
S100038,2024-12-18,Mobile,3,Germany
S100039,2024-03-05,Desktop,7,Canada
S100040,2024-10-10,Mobile,8,Singapore
S100041,2024-07-25,Desktop,5,USA
S100042,2024-08-08,Tablet,4,India
S100043,2025-06-01,Tablet,7,Singapore
S100044,2025-08-27,Desktop,0,Canada
S100045,2023-03-17,Mobile,2,Singapore
S100046,2024-10-01,Mobile,4,USA
S100047,2026-07-04,Mobile,5,USA
S100048,2025-05-28,Mobile,2,Germany
S100049,2024-09-28,Tablet,5,Canada
S100050,2024-12-30,Desktop,3,Australia
S100051,2024-06-15,Desktop,6,India
S100052,2025-03-24,Mobile,6,Canada
S100053,2026-05-18,Mobile,8,India
S100054,2026-07-03,Mobile,6,Singapore
S100055,2023-05-23,Mobile,0,Germany
S100056,2026-01-06,Tablet,3,Singapore
S100057,2022-05-21,Mobile,0,Germany
S100058,2026-07-04,Desktop,8,USA
S100059,2022-01-31,Tablet,0,Canada
S100060,2025-04-20,Desktop,4,Singapore
S100061,2022-11-08,Mobile,7,Germany
S100062,2025-01-27,Tablet,1,India
S100063,2024-08-17,Desktop,7,India
S100064,2025-12-06,Tablet,2,USA
S100065,2024-12-27,Tablet,3,Canada
S100066,2022-07-31,Tablet,0,Canada
S100067,2022-05-02,Mobile,6,Singapore
S100068,2022-07-26,Tablet,0,UK
S100069,2025-12-31,Tablet,0,UK
