seller_id,seller_name,country,business_type,industry,registration_date,annual_revenue
S100001,"Rodriguez, Figueroa and Sanchez",Australia,Individual,Electronics,2026-02-27,4664226.0
S100002,Doyle Ltd,USA,Private Limited,Fashion,2026-02-17,1769583.0
S100003,"Mcclain, Miller and Henderson",Australia,Sole Proprietor,Electronics,2025-04-24,7128673.0
S100004,Davis and Sons,India,Individual,Electronics,2023-03-24,3953402.0
S100005,"Guzman, Hoffman and Baldwin",Canada,Sole Proprietor,Electronics,2025-02-23,3385942.0
S100006,"Gardner, Robinson and Lawrence",Australia,Sole Proprietor,Beauty,2023-03-28,7586477.0
S100007,Blake and Sons,Canada,LLP,Home,2022-01-14,2728638.0
S100008,"Henderson, Ramirez and Lewis",Australia,Partnership,Books,2023-07-24,2658513.0
S100009,Garcia-James,USA,LLP,Electronics,2022-07-09,6424122.0
S100010,Abbott-Munoz,India,LLP,Home,2023-12-06,4487923.0
S100011,Blair PLC,Singapore,Individual,Automotive,2024-07-29,9046414.0
S100012,Dudley Group,India,Partnership,Electronics,2025-02-04,4968715.0
S100013,Arnold Ltd,Singapore,Sole Proprietor,Home,2024-01-11,9736361.0
S100014,"Mcclure, Ward and Lee",USA,Individual,Electronics,2025-09-16,3873498.0
S100015,Williams and Sons,Singapore,LLP,Electronics,2023-04-22,1744522.0
S100016,Galloway-Wyatt,Germany,LLP,Beauty,2025-07-25,6170868.0
S100017,James Group,USA,LLP,Books,2023-03-06,4529144.0
S100018,"Flowers, Martin and Kelly",Australia,Individual,Sports,2025-07-24,2921230.0
S100019,"Adams, Zuniga and Wong",Canada,Private Limited,Fashion,2024-08-04,6416205.0
S100020,"Reid, Ferguson and Sanchez",UK,Sole Proprietor,Fashion,2025-11-03,5490561.0
S100021,Gray-Mayo,Singapore,Individual,Fashion,2022-03-07,5342423.0
S100022,"Watts, Robinson and Nguyen",Germany,LLP,Electronics,2023-03-09,9565702.0
S100023,Perez Inc,Australia,LLP,Fashion,2025-09-04,8425710.0
S100024,Morales-Jones,Germany,Partnership,Fashion,2023-06-27,2392608.0
S100025,"Walter, Edwards and Rios",USA,Sole Proprietor,Sports,2023-06-23,9857725.0
S100026,Wilkerson-Day,Germany,Sole Proprietor,Beauty,2024-01-12,3729591.0
S100027,Baker and Sons,USA,Sole Proprietor,Beauty,2022-07-06,840481.0
S100028,"Hoffman, Baker and Richards",Singapore,Individual,Fashion,2025-07-09,2734052.0
S100029,"Ross, Robinson and Bright",Singapore,Partnership,Sports,2022-05-11,6505324.0
S100030,"Snyder, Campos and Callahan",Germany,Sole Proprietor,Beauty,2024-12-19,4268028.0
S100031,Burton Ltd,Canada,Individual,Automotive,2026-01-16,1971859.0
S100032,Carlson-Cruz,Australia,Sole Proprietor,Home,2023-07-01,5757197.0
S100033,"Ferrell, Rice and Maddox",India,LLP,Beauty,2022-11-20,7662220.0
S100034,Frazier Inc,India,LLP,Sports,2026-04-10,3047281.0
S100035,"Dyer, Potter and Mack",Canada,Individual,Home,2025-07-04,5057072.0
S100036,Rodriguez-Graham,Singapore,Sole Proprietor,Sports,2023-02-12,2614217.0
S100037,Smith-Bowen,UK,Private Limited,Sports,2026-05-14,8947858.0
S100038,"Baker, Mason and White",India,Sole Proprietor,Books,2024-09-27,376765.0
S100039,Harrell LLC,India,LLP,Home,2026-07-11,5209230.0
S100040,"Romero, Gonzalez and Brooks",USA,Individual,Fashion,2025-03-07,1371324.0
S100041,Ryan PLC,India,Partnership,Home,2022-05-22,8987326.0
S100042,George Group,Singapore,Private Limited,Fashion,2025-09-13,8023915.0
S100043,Rodriguez LLC,Canada,Private Limited,Books,2024-12-16,7149076.0
S100044,Allen-Allen,USA,Sole Proprietor,Home,2026-02-03,3424754.0
S100045,"Arroyo, Miller and Tucker",Australia,LLP,Beauty,2025-10-07,6314956.0
S100046,Spence PLC,Germany,Sole Proprietor,Beauty,2022-09-05,4209166.0
S100047,Anderson Group,USA,Individual,Books,2022-02-13,9920182.0
S100048,"Martin, Rose and Obrien",INDIA,Private Limited,Sports,2023-03-28,170642.0
S100049,Hickman Ltd,India,Individual,Fashion,2022-05-19,577021.0
S100050,"Harris, Collins and Carney",Singapore,LLP,Electronics,2024-11-18,4043055.0
S100051,"Brooks, Lam and Hayes",UK,Partnership,Fashion,2025-01-09,2269824.0
S100052,Walker LLC,Australia,Sole Proprietor,Sports,2024-08-26,4126817.0
S100053,Chapman and Sons,Singapore,Partnership,Home,2024-04-13,3244548.0
S100054,"Robinson, Jones and Welch",India,Individual,Automotive,2024-06-01,
S100055,Jones Inc,Germany,Partnership,Beauty,2026-02-02,958841.0
S100056,Jones-Young,Australia,Individual,Electronics,2024-04-04,5742553.0
S100057,"Washington, Ryan and Cummings",Singapore,Individual,Fashion,2023-01-28,3241175.0
S100058,"Johnston, Sanchez and Kennedy",Canada,Partnership,Fashion,2024-05-14,3128418.0
S100059,Lee-Davis,UK,Partnership,Fashion,2022-06-04,7484500.0
S100060,Gomez-Jenkins,Singapore,Sole Proprietor,Electronics,2022-04-14,9119560.0
S100061,"Brown, Valdez and Lucas",Singapore,Individual,Electronics,2026-03-24,4015789.0
S100062,Powell LLC,USA,Partnership,Beauty,2024-09-12,3636084.0
S100063,Wright and Sons,Singapore,Partnership,Electronics,2022-12-04,6408113.0
S100064,"West, Henderson and Ramirez",India,Partnership,Books,2026-05-25,7683773.0
S100065,Baxter Inc,UK,Partnership,Automotive,2026-02-05,9374245.0
S100066,Morton-Chase,Australia,Partnership,Fashion,2023-01-24,5027931.0
S100067,Williams PLC,USA,Individual,Sports,2026-02-15,9146526.0
S100068,Novak and Sons,India,LLP,Electronics,2022-04-13,9850873.0
S100069,Russell Group,Germany,Sole Proprietor,Home,2024-12-23,2691282.0
S100070,Hancock Inc,India,Sole Proprietor,Electronics,2023-01-16,1199597.0
S100071,Gray Group,Canada,Individual,Automotive,2023-04-27,6824229.0
S100072,House-Glover,India,Sole Proprietor,Fashion,2025-03-31,716754.0
S100073,Henderson-Bernard,Canada,Individual,Beauty,2025-09-08,9842396.0
S100074,"Stanley, Tucker and Lee",Canada,Sole Proprietor,Books,2023-06-19,3476900.0
S100075,Novak PLC,Australia,LLP,Fashion,2023-06-28,6690184.0
S100076,"Daniels, Adkins and Brown",USA,LLP,Beauty,2023-10-10,
S100077,"Woods, Calhoun and Schmidt",India,Partnership,Sports,2025-02-27,1727407.0
S100078,Yu Inc,India,Sole Proprietor,Fashion,2024-11-02,4499324.0
S100079,Jones Inc,USA,LLP,Electronics,2023-05-16,6249635.0
S100080,"Hensley, Powell and David",UK,Private Limited,Beauty,2025-01-17,5125395.0
S100081,"Sanchez, Wheeler and Harvey",Canada,Sole Proprietor,Electronics,2025-09-29,9354682.0
S100082,Sandoval-Cunningham,UK,Individual,Fashion,2023-06-26,1986571.0
S100083,Donovan-Harris,India,Sole Proprietor,Fashion,2023-07-12,4777085.0
S100084,"Edwards, Baker and Anderson",Canada,Private Limited,Automotive,2023-12-04,3465796.0
S100085,"Evans, Stewart and Walton",Australia,LLP,Sports,2024-09-27,4263115.0
S100086,Smith PLC,Singapore,Individual,Electronics,2025-07-23,7156422.0
S100087,"Ferrell, Jones and Lewis",Singapore,LLP,Electronics,2022-01-08,5646150.0
S100088,Anderson-Bailey,Singapore,Private Limited,Automotive,2023-06-21,2760895.0
S100089,Suarez LLC,Australia,Partnership,Sports,2025-12-16,7225395.0
S100090,Moore-Bass,Canada,Individual,Electronics,2022-06-04,2550715.0
S100091,"Turner, Riggs and Roman",Canada,Individual,Home,2024-01-27,9822888.0
S100092,"Smith, Montoya and Evans",Canada,Private Limited,Beauty,2022-09-19,751771.0
S100093,"Garcia, Humphrey and Baker",UK,LLP,Home,2022-03-23,6053042.0
S100094,Newton and Sons,USA,Private Limited,Automotive,2022-07-30,
S100095,Campbell-Clark,Singapore,Sole Proprietor,Home,2024-04-12,2642974.0
S100096,Harris-Walters,USA,Private Limited,Home,2026-07-19,3020445.0
S100097,Wagner-King,INDIA,Individual,Fashion,2026-02-17,5623147.0
S100098,Davis Group,Singapore,Partnership,Home,2025-10-03,4213555.0
S100099,Williams-Cook,UK,Private Limited,Home,2025-12-07,1863543.0
S100100,Walsh LLC,Germany,Individual,Home,2024-08-21,3781818.0
S100101,Figueroa PLC,USA,Partnership,Books,2023-09-18,3868418.0
S100102,"Patterson, Smith and Jones",USA,Individual,Automotive,2023-01-31,6735149.0
S100103,"Mckee, Gardner and Davenport",UK,LLP,Home,2022-05-23,4732940.0
S100104,"Tran, Jordan and Williams",UK,Sole Proprietor,Beauty,2025-10-23,9046207.0
S100105,Nolan-Flynn,UK,Individual,Electronics,2023-06-19,3045870.0
S100106,Nolan and Sons,Canada,LLP,Electronics,2022-08-11,7340770.0
S100107,"Wright, Garcia and Deleon",UK,LLP,Beauty,2025-05-26,8630255.0
S100108,Dickson-Brady,India,Partnership,Sports,2023-01-25,4323534.0
S100109,Hancock and Sons,India,Partnership,Electronics,2024-11-30,9083725.0
S100110,Johnson-Doyle,Australia,Private Limited,Books,2024-06-02,1223965.0
S100111,Patton-Jenkins,Australia,LLP,Sports,2023-10-05,2140865.0
S100112,"Shields, Cochran and Adams",Australia,LLP,Sports,2023-09-26,6901696.0
S100113,"Rodriguez, Brennan and Garrison",UK,Partnership,Automotive,2023-08-29,9351497.0
S100114,Gonzalez Group,USA,Private Limited,Beauty,2025-09-23,6411002.0
S100115,Torres-Pope,Australia,Private Limited,Sports,2025-03-11,5099101.0
S100116,Walker Ltd,Germany,Sole Proprietor,Home,2022-01-01,5148175.0
S100117,Ross LLC,UK,Private Limited,Beauty,2026-05-29,9780529.0
S100118,Rasmussen LLC,Canada,LLP,Beauty,2024-06-23,7468210.0
S100119,May-Ross,Australia,Private Limited,Sports,2024-08-27,
S100120,"Rivera, Johnson and Wiley",Australia,Individual,Books,2024-11-21,5673525.0
S100121,White-Estes,India,Private Limited,Automotive,2023-09-28,3818844.0
S100122,Johnson-Carlson,Singapore,Private Limited,Fashion,2022-02-20,825337.0
S100123,Chandler-Edwards,USA,Partnership,Sports,2026-04-23,1271854.0
S100124,"Joyce, Wilson and Lam",Germany,Partnership,Automotive,2025-03-24,3312081.0
S100125,Scott Ltd,Australia,Partnership,Beauty,2024-03-29,4143379.0
S100126,Smith-Frost,USA,Individual,Home,2026-04-27,1838238.0
S100127,"Mcdaniel, Bentley and Mclaughlin",Singapore,Partnership,Fashion,2022-12-27,8739889.0
S100128,Diaz Inc,Germany,Individual,Sports,2023-05-26,2086059.0
S100129,"Mccall, Hanson and Alvarado",Germany,Private Limited,Home,2024-08-09,8960914.0
S100130,Cortez LLC,Canada,Sole Proprietor,Books,2026-03-27,7475149.0
S100131,"Parker, Ortiz and Powell",Canada,Sole Proprietor,Beauty,2025-01-27,7531188.0
S100132,Spencer-Lee,USA,Partnership,Beauty,2023-06-15,4197994.0
S100133,"Bentley, Byrd and Orr",Singapore,LLP,Home,2026-05-12,8795959.0
S100134,"Carroll, Sullivan and Bass",Germany,Private Limited,Books,2024-06-19,1349954.0
S100135,Mitchell-Jordan,Australia,LLP,Fashion,2023-07-11,5684586.0
S100136,"Lawson, Morris and Ramos",UK,Sole Proprietor,Electronics,2022-10-11,2580518.0
S100137,"Lewis, Kennedy and Santana",USA,Partnership,Automotive,2022-11-09,3639533.0
S100138,"Jackson, Miller and Robertson",India,Partnership,Beauty,2023-11-09,9153504.0
S100139,"Harvey, Davis and Crane",Germany,Partnership,Electronics,2023-02-28,7098838.0
S100140,Chambers and Sons,Germany,Sole Proprietor,Automotive,2022-02-10,9708481.0
S100141,Hernandez Inc,Germany,Partnership,Electronics,2023-12-22,5059888.0
S100142,Riggs PLC,Singapore,Partnership,Home,2024-05-08,
S100143,Gibson Ltd,Australia,Sole Proprietor,Home,2025-05-20,3750025.0
S100144,"Lee, Horton and Snyder",Germany,Private Limited,Books,2024-06-11,8197720.0
S100145,Hernandez Ltd,India,Partnership,Books,2025-10-01,6833308.0
S100146,Stafford Inc,Australia,Private Limited,Home,2024-08-15,2191239.0
S100147,Robinson-Brock,Canada,Sole Proprietor,Electronics,2024-03-17,9980312.0
S100148,"Holmes, Williams and Wright",Canada,Individual,Electronics,2025-08-09,7240929.0
S100149,Bryant Group,USA,Partnership,Fashion,2022-04-13,4414698.0
S100150,"Schmidt, Hansen and Stewart",Germany,LLP,Fashion,2024-07-20,5533562.0
S100151,Salazar-Ball,UK,Partnership,Books,2026-03-21,7122684.0
S100152,"Simmons, Meadows and Griffin",UK,Individual,Beauty,2022-02-09,9099949.0
S100153,Manning Group,India,LLP,Fashion,2025-08-24,1201225.0
S100154,Green-Wright,Singapore,Individual,Home,2022-03-05,4198725.0
S100155,"Ramirez, Strickland and Washington",USA,Individual,Sports,2022-11-09,4052120.0
S100156,Hill Inc,USA,Partnership,Automotive,2022-08-23,9511839.0
S100157,"Mitchell, Nelson and Flores",USA,Partnership,Automotive,2023-06-09,6239034.0
S100158,"Miller, Hernandez and Reyes",USA,Sole Proprietor,Sports,2026-03-12,1971542.0
S100159,Mccarthy Inc,Singapore,Private Limited,Books,2022-08-10,9758718.0
S100160,Russell-Daniels,India,LLP,Sports,2025-10-19,6346605.0
S100161,Brown-Wall,Germany,Private Limited,Electronics,2025-04-27,4124336.0
S100162,Stein-Silva,India,LLP,Home,2025-11-02,2080966.0
S100163,"Smith, Gilmore and Johnston",Singapore,Sole Proprietor,Home,2022-03-26,5875112.0
S100164,Smith-Bell,Canada,Partnership,Automotive,2024-01-29,1206902.0
S100165,Castaneda-Ashley,Canada,LLP,Electronics,2024-05-10,8274219.0
S100166,Medina-Navarro,India,Partnership,Books,2025-07-25,7763146.0
S100167,"Hurst, Freeman and Nelson",Australia,Private Limited,Beauty,2022-12-27,8803457.0
S100168,Johnson-Rogers,Australia,LLP,Sports,2026-07-14,9079043.0
S100169,"Yates, Ramsey and Pittman",Singapore,Partnership,Beauty,2024-06-11,9990074.0
S100170,Hooper PLC,UK,LLP,Home,2023-05-18,1503962.0
S100171,Meadows PLC,UK,Partnership,Fashion,2026-03-17,7846514.0
S100172,"Alvarado, Miller and Patterson",Canada,Sole Proprietor,Automotive,2024-02-16,5693798.0
S100173,White-Green,India,Partnership,Home,2023-10-28,3100766.0
S100174,Lewis-Murphy,Germany,Private Limited,Books,2026-06-22,4384434.0
S100175,Ramirez-Bean,UK,LLP,Sports,2025-12-07,4685017.0
S100176,King-Miller,Canada,Individual,Sports,2023-01-27,1486347.0
S100177,Curry Inc,USA,Partnership,Beauty,2025-02-11,4081966.0
S100178,Walker-Jones,Australia,Partnership,Automotive,2025-12-28,8284615.0
S100179,"Williams, Johnson and Wright",Germany,Individual,Electronics,2023-08-26,3767770.0
S100180,Howell and Sons,Germany,Private Limited,Books,2025-09-21,9806883.0
S100181,Wells Inc,UK,Partnership,Sports,2024-12-23,5817292.0
S100182,"Gould, Marshall and Scott",Germany,Sole Proprietor,Books,2023-12-22,7662582.0
S100183,Jackson-Lawson,UK,LLP,Books,2023-04-18,2074269.0
S100184,"Higgins, Strickland and Martin",Australia,Private Limited,Books,2022-09-02,9040305.0
S100185,Rodriguez-Johnson,Singapore,Private Limited,Fashion,2023-03-20,8173504.0
S100186,Johnston-Odonnell,UK,Sole Proprietor,Home,2024-12-10,4797930.0
S100187,Sanders-Espinoza,India,Private Limited,Books,2023-04-11,6104579.0
S100188,Vargas Ltd,USA,LLP,Electronics,2025-12-21,9011299.0
S100189,Garcia LLC,USA,LLP,Electronics,2022-04-22,9333822.0
S100190,"Burke, Martinez and Riggs",UK,Private Limited,Automotive,2026-03-22,8285577.0
S100191,Reed Group,India,Individual,Sports,2023-08-06,7925173.0
S100192,"Wood, Hunter and Peterson",Germany,Partnership,Books,2023-01-13,911958.0
S100193,Short-Garcia,UK,Partnership,Electronics,2022-05-14,6772755.0
S100194,Reid-Poole,Germany,Individual,Sports,2025-07-13,949411.0
S100195,"Hernandez, Thompson and Boyd",USA,Private Limited,Home,2025-02-26,5147514.0
S100196,"Nelson, Morton and Medina",India,Private Limited,Electronics,2025-02-16,7032241.0
S100197,Marshall-Petersen,Canada,Sole Proprietor,Home,2025-06-20,3836401.0
S100198,"Adams, Christian and Rivas",Singapore,Sole Proprietor,Beauty,2024-07-11,7477625.0
S100199,Ramirez Group,UK,Sole Proprietor,Beauty,2023-09-18,9590019.0
S100200,Christensen PLC,Canada,Individual,Sports,2026-02-24,1714863.0
S100201,"Barnett, Rogers and Snyder",Singapore,Private Limited,Automotive,2023-03-09,4490025.0
S100202,White-Lewis,Australia,Individual,Fashion,2023-05-07,2966107.0
S100203,Peterson-Beard,Canada,Individual,Fashion,2022-01-06,6903787.0
S100204,"Beard, Peters and Black",Germany,Sole Proprietor,Beauty,2023-08-20,597605.0
S100205,Miller Ltd,USA,LLP,Automotive,2023-08-03,7667381.0
S100206,Freeman-Chang,India,Private Limited,Books,2026-06-02,9945027.0
S100207,"Alvarez, Joseph and West",Australia,Private Limited,Beauty,2022-08-24,9186240.0
S100208,Davis and Sons,USA,Private Limited,Books,2022-10-19,1248058.0
S100209,Holt-Torres,India,Private Limited,Home,2023-09-22,9599709.0
S100210,"Wood, Tran and Cooper",UK,Partnership,Electronics,2024-08-17,5151803.0
S100211,"Pierce, Bell and Chavez",Australia,Partnership,Books,2024-10-21,9109387.0
S100212,King-Martinez,Germany,Partnership,Electronics,2025-05-09,718752.0
S100213,Stewart Ltd,Germany,LLP,Sports,2023-05-28,483940.0
S100214,"Tapia, Vaughn and Lee",India,Private Limited,Automotive,2025-03-24,9900288.0
S100215,"Washington, Hardy and Bray",India,LLP,Sports,2022-03-24,2989212.0
S100216,"Carlson, Hooper and Wall",Germany,Sole Proprietor,Automotive,2024-06-24,4716692.0
S100217,Perez-White,USA,Sole Proprietor,Beauty,2025-07-24,8299789.0
S100218,Erickson and Sons,India,Partnership,Books,2024-04-16,5641986.0
S100219,Williams-Brown,UK,Individual,Home,2022-11-26,5583187.0
S100220,Terry-Martinez,Germany,Partnership,Books,2025-09-18,6768473.0
S100221,Garcia-Smith,Singapore,Sole Proprietor,Electronics,2024-07-20,1527398.0
S100222,Harrison-Alexander,UK,LLP,Books,2022-08-26,6830932.0
S100223,Sheppard LLC,Singapore,Sole Proprietor,Home,2022-01-03,9153209.0
S100224,Wilson-Jones,Germany,Partnership,Electronics,2023-01-20,8747969.0
S100225,Jones-Soto,UK,Sole Proprietor,Home,2024-10-17,7466216.0
S100226,Hernandez PLC,INDIA,Individual,Fashion,2023-07-01,9264376.0
S100227,Miller-Wright,USA,LLP,Beauty,2025-12-01,8182114.0
S100228,"Duran, Obrien and Gibbs",India,Individual,Automotive,2025-05-31,4064745.0
S100229,Rowe Group,Australia,Private Limited,Books,2025-02-02,279419.0
S100230,Kerr-Evans,Canada,Partnership,Electronics,2023-04-06,1953561.0
S100231,"Branch, Torres and Oliver",Germany,Individual,Automotive,2022-11-12,8411353.0
S100232,"Choi, Garcia and Farmer",Australia,LLP,Sports,2025-12-15,4637308.0
S100233,"Clark, Guerrero and Moore",Germany,Partnership,Beauty,2023-05-15,7713605.0
S100234,Arnold and Sons,Canada,Private Limited,Beauty,2023-01-26,8576867.0
S100235,Ortiz Ltd,Australia,Private Limited,Home,2022-05-23,4684662.0
S100236,"Harrison, Johnson and Roberts",Singapore,Partnership,Books,2026-06-02,8568424.0
S100237,Warner-Gibson,UK,Individual,Books,2026-01-26,5058935.0
S100238,"Hall, Baker and Moody",Singapore,Sole Proprietor,Sports,2025-09-13,8264801.0
S100239,"Guerrero, Peck and Coleman",Singapore,Private Limited,Beauty,2025-01-08,8175900.0
S100240,"Walker, Hernandez and Baker",UK,LLP,Sports,2026-04-12,9167243.0
S100241,Jones and Sons,Germany,Partnership,Books,2023-01-22,4056492.0
S100242,Larson-Holloway,Canada,Partnership,Fashion,2026-05-08,6941662.0
S100243,Gonzales-Harrison,India,LLP,Automotive,2024-08-26,6445997.0
S100244,Lyons-Bender,Germany,Private Limited,Beauty,2022-03-17,2168060.0
S100245,"Fernandez, Kim and George",Canada,Sole Proprietor,Books,2022-07-25,7437112.0
S100246,Navarro-Munoz,India,Sole Proprietor,Beauty,2022-02-01,2468526.0
S100247,Davis Ltd,Germany,Private Limited,Electronics,2024-08-19,4496344.0
S100248,"Matthews, Smith and Hubbard",UK,Sole Proprietor,Automotive,2024-03-25,1397467.0
S100249,Johnston-Hines,Singapore,LLP,Home,2025-10-13,9002696.0
S100250,Ruiz Ltd,Germany,LLP,Automotive,2026-01-11,8236400.0
S100251,Moon-White,Singapore,Sole Proprietor,Electronics,2025-06-18,1197909.0
S100252,"Graham, Olsen and Costa",USA,LLP,Fashion,2026-03-10,1566313.0
S100253,Bailey-Cook,Germany,Individual,Home,2025-07-21,1736231.0
S100254,"Garcia, Martin and Jenkins",Germany,Private Limited,Automotive,2023-09-06,535654.0
S100255,Roberts-Landry,India,LLP,Home,2022-04-25,4971894.0
S100256,"Johnson, Miller and King",UK,LLP,Beauty,2022-10-26,4146953.0
S100257,Cordova Group,Canada,Partnership,Sports,2025-10-28,3070853.0
S100258,"Bryan, Smith and Booth",USA,Private Limited,Electronics,2025-06-02,6468028.0
S100259,Gutierrez-Lopez,Canada,Private Limited,Beauty,2025-04-09,2451116.0
S100260,Dean-Jimenez,USA,Partnership,Automotive,2023-06-05,7760313.0
S100261,Wolf-Harris,UK,Individual,Home,2024-08-10,4875658.0
S100262,"Anderson, Roberts and Gilmore",Australia,Sole Proprietor,Fashion,2022-06-01,7460995.0
S100263,Martinez-Dudley,UK,Sole Proprietor,Books,2025-08-01,7168722.0
