seller_id,orders,sales,returns,refunds
S100001,250,393500,39,40521
S100002,116,256244,12,14928
S100003,291,653877,40,45600
S100004,155,241800,13,10036
S100005,45,48600,5,4320
S100006,250,483750,24,8064
S100007,282,139308,1,1228
S100008,316,416804,60,66600
S100009,86,98126,9,4959
S100010,157,109272,6,10788
S100011,27,27081,2,668
S100012,252,431424,12,14388
S100013,109,149984,10,3090
S100014,489,560883,1,1184
S100015,244,250588,12,20064
S100016,280,262920,29,40107
S100017,53,76479,6,9132
S100018,198,475398,24,30264
S100019,40,64880,8,6408
S100020,282,571614,19,27132
S100021,279,651744,33,56463
S100022,421,1042396,82,105452
S100023,361,433922,64,27648
S100024,432,448416,72,60912
S100025,192,365952,31,35743
S100026,474,255960,82,161376
S100027,69,104811,9,4446
S100028,490,451290,39,44304
S100029,289,141321,10,10500
S100030,307,602027,49,68355
S100031,44,95832,6,5514
S100032,483,212037,10,12970
S100033,136,86360,18,31194
S100034,21,18312,1,348
S100035,349,403095,61,104432
S100036,451,1120284,28,19656
S100037,82,53382,13,25792
S100038,428,940316,11,10219
S100039,218,515570,40,17040
S100040,492,583512,97,47627
S100041,67,167031,6,11226
S100042,305,227530,43,34787
S100043,382,374360,15,13095
S100044,475,1152825,93,93000
S100045,436,470444,44,29524
S100046,355,886790,38,28994
S100047,366,786168,24,16296
S100048,439,431976,21,9345
S100049,495,1174635,7,11697
S100050,178,106266,28,27496
S100051,235,101520,17,21896
S100052,421,635710,8,5000
S100053,397,772562,34,19074
S100054,285,626145,36,44100
S100055,26,49504,5,3915
S100056,73,154979,12,16224
S100057,394,778544,53,66303
S100058,305,197640,7,8036
S100059,264,523248,44,22704
S100060,278,224624,45,38115
S100061,239,467006,8,4616
S100062,86,64844,8,14912
S100063,453,1022874,86,39646
S100064,52,97032,2,2274
S100065,403,816075,44,30096
S100066,102,51612,12,23688
S100067,225,506925,14,21952
S100068,447,769734,36,29700
S100069,243,427680,22,25652
S100070,264,253440,20,16620
S100071,80,185440,15,8325
S100072,450,795600,83,78103
S100073,39,84396,7,9072
S100074,20,9300,0,0
S100075,284,431396,34,29716
S100076,183,395646,18,28458
S100077,264,144408,14,14784
S100078,206,451758,27,14472
S100079,37,67192,6,5292
S100080,449,281523,40,56040
S100081,252,319284,19,12654
S100082,83,94454,11,7557
S100083,274,548548,7,11697
S100084,271,245797,28,52472
S100085,126,113148,8,6120
S100086,26,14118,5,3275
S100087,25,51025,4,1824
S100088,283,363938,27,41445
S100089,61,56730,4,5448
S100090,319,728915,12,20052
S100091,125,302375,6,8694
S100092,278,668312,44,27016
S100093,128,75136,24,41280
S100094,402,213060,17,15487
S100095,500,695000,19,15694
S100096,3,5412,0,0
S100097,399,594111,73,34748
S100098,50,71050,8,3176
S100099,383,265419,71,32802
S100100,118,275648,18,22590
S100101,349,353537,35,68950
S100102,321,218601,57,46797
S100103,93,86490,13,12337
S100104,129,232974,3,1227
S100105,54,21816,2,858
S100106,384,332544,28,46704
S100107,103,154603,1,1222
S100108,258,169764,16,10672
S100109,219,443694,15,9780
S100110,472,1138464,40,58400
S100111,96,142272,16,20320
S100112,164,310452,15,14505
S100113,339,611895,63,88452
S100114,396,883872,74,110778
S100115,223,311085,10,7800
S100116,267,584997,27,24705
S100117,88,199760,8,12720
S100118,79,81686,8,7488
S100119,45,99720,5,3620
S100120,469,1002722,61,76555
S100121,185,240315,26,15158
S100122,438,388944,0,0
S100123,467,1114262,29,53041
S100124,171,112518,3,3606
S100125,412,266564,19,17100
S100126,248,474176,26,33202
S100127,433,182726,60,99540
S100128,247,135356,11,20812
S100129,34,50184,3,5898
S100130,132,247764,10,3700
S100131,463,337064,83,71214
S100132,379,369146,26,50440
S100133,140,311920,24,37008
S100134,288,379584,7,9744
S100135,137,241805,21,36162
S100136,225,388800,18,12330
S100137,44,98340,0,0
S100138,253,305371,24,31032
S100139,435,931770,2,3388
S100140,200,431200,33,59631
S100141,382,864848,73,114026
S100142,368,336720,66,71412
S100143,123,74907,17,11050
S100144,164,214348,2,676
S100145,179,266352,14,6006
S100146,193,428846,0,0
S100147,25,37075,4,2368
S100148,85,91120,8,3176
S100149,440,961400,55,96855
S100150,215,103845,25,20425
S100151,22,42702,2,2168
S100152,82,189256,16,22960
S100153,432,924912,52,37024
S100154,264,117216,0,0
S100155,100,82500,6,11262
S100156,388,904428,47,65189
S100157,352,799744,64,25408
S100158,236,531708,24,29040
S100159,225,414225,34,26962
S100160,500,425000,26,43654
S100161,349,271522,18,27072
S100162,250,622500,23,22701
S100163,78,167778,8,11000
S100164,341,439890,64,123456
S100165,352,728992,15,26205
S100166,58,71804,9,9288
S100167,165,249645,14,12418
S100168,29,50170,2,3296
S100169,344,248368,51,101541
S100170,337,389572,41,42476
S100171,363,228327,65,28990
S100172,387,940023,64,71680
S100173,305,728340,30,50490
S100174,76,172368,7,8288
S100175,14,26460,0,0
S100176,39,15873,3,3072
S100177,108,200880,17,13294
S100178,484,842644,17,16354
S100179,256,166400,3,1059
S100180,469,1019137,24,11376
S100181,269,152792,49,90013
S100182,16,32880,1,704
S100183,373,267068,51,55998
S100184,408,742560,79,60040
S100185,499,1124247,27,52272
S100186,456,775200,6,2922
S100187,16,20128,0,0
S100188,204,160956,38,37468
S100189,256,599552,12,3768
S100190,63,71694,4,6600
S100191,142,128084,26,37518
S100192,316,328956,30,26130
S100193,272,300288,9,5886
S100194,151,345790,2,2026
S100195,335,581225,15,14280
S100196,47,83754,2,2700
S100197,444,832944,36,51948
S100198,390,722670,78,106860
S100199,225,175950,5,7870
S100200,497,1032269,81,125226
S100201,414,217764,16,8640
S100202,112,238896,17,18887
S100203,412,282632,81,131382
S100204,52,70668,9,8343
S100205,370,905020,41,24477
S100206,379,912632,12,7140
S100207,297,128304,17,10591
S100208,146,68474,16,10528
S100209,254,397764,24,12360
S100210,312,280800,27,53541
