verification_id,seller_id,pan_status,gst_status,bank_status,verification_status,verification_date
8099527a-cd11-435d-8311-85aa3bb487f7,S100001,Failed,Verified,Verified,Approved,2023-06-30
1193874e-7915-4907-9dec-7cccb5c5fd9f,S100002,Failed,Failed,Verified,Approved,2023-10-16
c463190a-99cf-45aa-b6de-ece633beb361,S100003,Verified,Failed,Failed,Approved,2025-12-25
b120a7ef-6eb2-4dcc-9f97-fa5baf84add6,S100004,Verified,Failed,Verified,Approved,2024-04-09
6d71e216-7630-450d-a47a-78f42d07d2e3,S100005,Verified,Verified,Failed,Pending,2023-11-14
2f8611d5-1651-44bb-aa7f-ae108bff5388,S100006,Verified,Verified,Verified,Pending,2022-01-07
d1c3516e-4a54-45f3-bd3d-4d087e5a86ad,S100007,Verified,Failed,Verified,Approved,2024-04-21
1dd2c38a-c49b-4cf1-9db0-81db20e0463d,S100008,Verified,Verified,Failed,Approved,2022-08-27
2a593e33-c5f5-4912-86a2-afeb2696b86d,S100009,Failed,Failed,Verified,Approved,2024-03-26
b2204f32-e202-4858-9618-91b09e86e4e8,S100010,Verified,Failed,Verified,Approved,2024-05-01
1565b21b-80a3-446e-b42d-4e17b52f1129,S100011,Failed,Verified,Failed,Approved,2023-03-21
179ece59-0a18-401d-b94a-3116fe725469,S100012,Failed,Verified,Failed,Approved,2023-07-20
4e292617-dbfa-4dfc-9791-71314a3d6276,S100013,Failed,Verified,Verified,Approved,2023-02-21
9e39c62f-29aa-4709-88cc-75d78f7bd817,S100014,Failed,Failed,Failed,Approved,2022-06-08
0cfd400c-9a33-4379-b366-d756869081e5,S100015,Failed,Failed,Failed,Pending,2023-08-24
873e21b2-a50c-405b-8b87-760e8e59d128,S100016,Verified,Failed,Verified,Approved,2022-12-08
613d98d2-9411-4d59-91fa-f750b61e9e5d,S100017,Failed,Verified,Verified,Approved,2025-07-04
cf3ff26a-4d51-46cd-a983-e150ad6bdc9b,S100018,Verified,Verified,Failed,Approved,2024-01-22
1df4d71f-3031-4a12-a864-7c4b5c47581e,S100019,Verified,Failed,Failed,Approved,2023-07-14
ad14ea20-1b91-4a8a-9280-e2aad3128947,S100020,Failed,Verified,Failed,Approved,2023-08-14
093ddf52-9710-460b-9e6d-959193620975,S100021,Failed,Verified,Failed,Approved,2024-06-22
abb31204-11f2-4fd8-a771-c5f8835cf16b,S100022,Verified,Failed,Verified,Approved,2024-02-07
647e7d75-5228-41af-b133-941a378a9213,S100023,Failed,Verified,Failed,Approved,2022-01-05
d10f5d4a-ba20-4b9d-8fc4-3937f6d77d91,S100024,Verified,Verified,Failed,Pending,2024-01-25
713884dc-1816-430b-b4f7-35edb2398791,S100025,Verified,Verified,Verified,Rejected,2024-09-10
c2a7f547-3bc6-44ba-a6cf-8ce8f587a482,S100026,Verified,Failed,Failed,Pending,2023-11-27
a043d992-dcd1-42d9-a189-50ef6e5883cb,S100027,Verified,Verified,Verified,Approved,2026-02-24
fde02178-0dc8-496e-bd32-c7e66610b404,S100028,Failed,Verified,Failed,Approved,2022-10-15
b6267d96-ecff-4025-b94a-e80e4ce68b19,S100029,Failed,Verified,Failed,Approved,2024-12-31
11b7664a-fd92-4b6f-b21e-2700e1476a7f,S100030,Verified,Failed,Failed,Approved,2023-02-26
02e78484-15c7-4ccb-bbf8-0355e949e29c,S100031,Failed,Verified,Verified,Approved,2022-01-28
b0d71191-37b8-4dbe-a7ba-d5f1dbb6c4a3,S100032,Failed,Verified,Failed,Rejected,2024-02-13
179d2728-902c-41fc-a6e3-c5e08c40476c,S100033,Verified,Verified,Failed,Approved,2023-09-26
8194dbaa-e34a-40b4-9d7a-91819e4e31cf,S100034,Verified,Failed,Failed,Pending,2025-05-09
4a6248e6-7aa8-4007-8342-2f31cb0e12c4,S100035,Failed,Failed,Verified,Approved,2022-01-19
dde71d45-d029-48e3-9230-f39f0927e05f,S100036,Verified,Verified,Verified,Approved,2023-12-18
b8e096ef-3d3a-40ba-9cac-fbab07b9625d,S100037,Verified,Verified,Failed,Approved,2023-10-15
05de7ead-28ac-4558-881e-e77d34b8c32c,S100038,Failed,Verified,Verified,Approved,2022-04-01
3fbf7901-fc71-4b1b-a329-a51fc370f6e7,S100039,Failed,Verified,Verified,Approved,2024-09-11
437483d7-cc8c-4dae-b3e3-309345be06f8,S100040,Verified,Failed,Verified,Pending,2022-08-20
071ef20f-6e0b-414f-9e2d-5f9497a9bc72,S100041,Failed,Verified,Failed,Approved,2023-06-26
418fe315-139c-4bb3-be3b-534bf5494b5d,S100042,Failed,Failed,Failed,Rejected,2022-03-17
c51b3ac7-7989-4ad6-84ec-d2aee4f5297c,S100043,Verified,Verified,Verified,Rejected,2024-10-31
d38d665e-0edb-44f1-984e-24c3640e2034,S100044,Verified,Failed,Failed,Approved,2025-08-18
58c4c481-742b-4da8-bef5-5da4b72ed2c7,S100045,Verified,Failed,Verified,Approved,2022-10-07
5bacd515-274b-452a-b40f-1f18c04a00cb,S100046,Failed,Verified,Failed,Approved,2024-09-27
75901dc5-a72c-4d57-9c12-e54bb51dd156,S100047,Failed,Failed,Failed,Approved,2025-03-31
d354988e-1343-4877-b9e1-460126eb088f,S100048,Failed,Verified,Failed,Approved,2023-10-25
357ee616-bf13-4959-8182-d5c560985383,S100049,Verified,Verified,Verified,Approved,2025-12-09
d5d2d13b-06ae-4314-a4f5-b0c51e1fbf0c,S100050,Failed,Failed,Verified,Approved,2023-11-28
f5ada7db-7f59-4e37-a981-cfc53222fab3,S100051,Verified,Failed,Failed,Approved,2024-03-09
13ab1631-ba64-4f90-80fa-e7b2a47a355e,S100052,Verified,Failed,Verified,Approved,2026-01-14
da4f8e41-f8f0-412d-a6fe-a49817c32ec6,S100053,Verified,Failed,Verified,Approved,2025-05-24
c4e8870d-fa02-4885-be8d-ee1eabfd9148,S100054,Verified,Verified,Verified,Approved,2026-04-30
e3893cdb-c542-41eb-90c1-ce580e0bfa52,S100055,Failed,Verified,Verified,Pending,2023-11-30
f9ff6d0b-7082-42e7-814a-81a5b0a594af,S100056,Failed,Failed,Failed,Approved,2024-12-22
f4405068-07ee-4ab4-b896-5e8cd8cd798c,S100057,Failed,Verified,Failed,Approved,2026-01-07
92c5d3fb-db5d-4575-827b-2f57301e5da2,S100058,Failed,Verified,Failed,Approved,2023-09-22
c5801d91-dc16-41bb-a10d-b9e19caf6869,S100059,Verified,Verified,Verified,Rejected,2023-10-31
6620c29e-6cad-44c1-8f78-240034ad9f5d,S100060,Verified,Failed,Verified,Approved,2022-07-01
037f806b-05d0-412a-b62f-208adea12470,S100061,Failed,Failed,Verified,Approved,2025-09-20
47eb6203-9b87-41ee-9803-cca7586a2ad4,S100062,Verified,Failed,Failed,Approved,2024-12-14
dcd771f5-98e1-4542-a9fb-bb506710610f,S100063,Failed,Verified,Failed,Approved,2025-04-07
65afc237-659b-4536-b7c4-e418d65921e3,S100064,Failed,Verified,Failed,Approved,2024-04-10
dc7df2cf-3edd-4f0e-9ac6-ce9fafb92571,S100065,Failed,Failed,Verified,Approved,2025-08-05
c40febad-fc9f-4716-a30d-8139b738ff0a,S100066,Failed,Failed,Failed,Approved,2024-07-04
76120622-b0a5-4488-b7db-f5313f710a1a,S100067,Failed,Failed,Failed,Rejected,2024-07-28
1bac1c4a-7e3f-4a28-877e-c64e0f2c0147,S100068,Verified,Failed,Verified,Pending,2026-01-29
85ddc103-517a-4221-ae62-498fbe0020f6,S100069,Failed,Failed,Failed,Approved,2022-12-16
06c3fc60-c806-4cd0-8247-6f89d19c5dbc,S100070,Verified,Verified,Failed,Approved,2024-07-26
e9bf0dca-dddc-415f-bed7-9b91947abbe8,S100071,Verified,Verified,Failed,Approved,2026-07-08
0c6e2d47-a7ed-47d5-863b-b01510d1ce1a,S100072,Verified,Failed,Failed,Approved,2025-04-21
3fe8e098-32a9-4f44-abbd-3b4e8f370139,S100073,Verified,Failed,Failed,Rejected,2023-11-03
372a857d-4c59-404d-b759-0e762ebf3f1f,S100074,Verified,Verified,Verified,Approved,2023-06-06
c0acc371-cc90-49d4-87d6-c3dad8294a39,S100075,Failed,Failed,Verified,Approved,2023-04-04
